434
11906
         23381207 function calls (23378973 primitive calls) in 28.024 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    425/1    0.001    0.000   28.025   28.025 {built-in method builtins.exec}
        1    0.000    0.000   28.025   28.025 sol2.py:1(<module>)
        1    0.000    0.000   27.875   27.875 sol2.py:116(main)
        1    0.004    0.004   27.874   27.874 sol2.py:74(part_1)
      727    0.361    0.000   27.868    0.038 sol2.py:65(find_transform_map)
    17083   15.853    0.001   27.096    0.002 sol2.py:54(find_translation)
 11395980   10.326    0.000   10.326    0.000 sol2.py:51(tuplefy)
 11395307    0.893    0.000    0.893    0.000 __init__.py:595(__missing__)
    17083    0.075    0.000    0.411    0.000 sol2.py:67(<listcomp>)
   441256    0.337    0.000    0.337    0.000 {method 'dot' of 'numpy.ndarray' objects}
       13    0.001    0.000    0.323    0.025 __init__.py:1(<module>)
    149/1    0.001    0.000    0.149    0.149 <frozen importlib._bootstrap>:1002(_find_and_load)
    149/1    0.001    0.000    0.149    0.149 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
    138/1    0.001    0.000    0.149    0.149 <frozen importlib._bootstrap>:659(_load_unlocked)
    108/1    0.000    0.000    0.149    0.149 <frozen importlib._bootstrap_external>:844(exec_module)
    218/1    0.000    0.000    0.148    0.148 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
   183/18    0.001    0.000    0.145    0.008 <frozen importlib._bootstrap>:1033(_handle_fromlist)
    334/9    0.001    0.000    0.144    0.016 {built-in method builtins.__import__}
      316    0.001    0.000    0.043    0.000 overrides.py:183(decorator)
      316    0.030    0.000    0.030    0.000 {built-in method builtins.compile}
    17084    0.020    0.000    0.024    0.000 __init__.py:581(__init__)
      108    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:916(get_code)
        1    0.000    0.000    0.022    0.022 multiarray.py:1(<module>)
        1    0.000    0.000    0.019    0.019 overrides.py:1(<module>)
        1    0.000    0.000    0.017    0.017 index_tricks.py:1(<module>)
        1    0.000    0.000    0.016    0.016 numeric.py:1(<module>)
      146    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:901(_find_spec)
  138/135    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      108    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      108    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
      133    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
      133    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
        1    0.000    0.000    0.013    0.013 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.012    0.012 platform.py:3(<module>)
        2    0.000    0.000    0.012    0.006 shape_base.py:1(<module>)
        1    0.000    0.000    0.012    0.012 _pickle.py:1(<module>)
      272    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
       17    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
       17    0.008    0.000    0.011    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.010    0.010 py3k.py:1(<module>)
      184    0.000    0.000    0.010    0.000 re.py:289(_compile)
    17/12    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap_external>:1179(exec_module)
    17/12    0.002    0.000    0.010    0.001 {built-in method _imp.exec_dynamic}
       28    0.000    0.000    0.010    0.000 sre_compile.py:759(compile)
       23    0.000    0.000    0.010    0.000 re.py:250(compile)
        1    0.000    0.000    0.009    0.009 defmatrix.py:1(<module>)
        1    0.000    0.000    0.008    0.008 linalg.py:1(<module>)
        1    0.000    0.000    0.008    0.008 fromnumeric.py:1(<module>)
  219/218    0.005    0.000    0.007    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.007    0.007 defchararray.py:1(<module>)
      286    0.002    0.000    0.007    0.000 overrides.py:89(verify_matching_signatures)
        1    0.000    0.000    0.006    0.006 subprocess.py:10(<module>)
       28    0.000    0.000    0.006    0.000 sre_parse.py:937(parse)
        2    0.000    0.000    0.006    0.003 function_base.py:1(<module>)
        1    0.000    0.000    0.006    0.006 pathlib.py:1(<module>)
    73/28    0.000    0.000    0.005    0.000 sre_parse.py:435(_parse_sub)
    78/30    0.002    0.000    0.005    0.000 sre_parse.py:493(_parse)
        1    0.000    0.000    0.005    0.005 secrets.py:1(<module>)
      108    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
        1    0.000    0.000    0.005    0.005 _internal.py:1(<module>)
      616    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
      138    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
        1    0.000    0.000    0.004    0.004 scimath.py:1(<module>)
     1413    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
       28    0.000    0.000    0.004    0.000 sre_compile.py:598(_code)
    17084    0.004    0.000    0.004    0.000 __init__.py:649(update)
      284    0.001    0.000    0.003    0.000 function_base.py:475(add_newdoc)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:1(<module>)
      570    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      216    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
        2    0.000    0.000    0.003    0.002 polynomial.py:1(<module>)
      332    0.002    0.000    0.003    0.000 functools.py:35(update_wrapper)
      570    0.003    0.000    0.003    0.000 {built-in method posix.stat}
   157/28    0.001    0.000    0.003    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.003    0.003 numerictypes.py:1(<module>)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
        1    0.000    0.000    0.003    0.003 npyio.py:1(<module>)
      306    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
