         15965678 function calls (15963447 primitive calls) in 6.718 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      127    4.377    0.034    6.566    0.052 sol4.py:47(find_transformation)
  8054496    1.427    0.000    1.427    0.000 sol4.py:60(<genexpr>)
  1764845    0.306    0.000    0.306    0.000 sol4.py:93(__init__)
  4033826    0.238    0.000    0.238    0.000 {built-in method builtins.isinstance}
  2013456    0.169    0.000    0.169    0.000 __init__.py:595(__missing__)
      316    0.030    0.000    0.030    0.000 {built-in method builtins.compile}
    21105    0.027    0.000    0.027    0.000 {method 'dot' of 'numpy.ndarray' objects}
      816    0.017    0.000    0.045    0.000 sol4.py:86(<listcomp>)
      108    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
       17    0.008    0.000    0.010    0.001 {built-in method _imp.create_dynamic}
  220/219    0.005    0.000    0.007    0.000 {built-in method builtins.__build_class__}
     3025    0.004    0.000    0.005    0.000 __init__.py:581(__init__)
      272    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
      570    0.003    0.000    0.003    0.000 {built-in method posix.stat}
        1    0.003    0.003    6.570    6.570 sol4.py:120(part_1)
      612    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
    17/12    0.002    0.000    0.010    0.001 {built-in method _imp.exec_dynamic}
      108    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
    78/30    0.002    0.000    0.005    0.000 sre_parse.py:493(_parse)
      108    0.002    0.000    0.002    0.000 {built-in method io.open_code}
     3913    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      333    0.002    0.000    0.003    0.000 functools.py:35(update_wrapper)
      286    0.001    0.000    0.006    0.000 overrides.py:89(verify_matching_signatures)
     1413    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     1413    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
      316    0.001    0.000    0.043    0.000 overrides.py:183(decorator)
      146    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      108    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:916(get_code)
      455    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:87(acquire)
      455    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      216    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      616    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
   156/28    0.001    0.000    0.003    0.000 sre_compile.py:71(_compile)
      648    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      455    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:112(release)
       13    0.001    0.000    0.320    0.025 __init__.py:1(<module>)
    149/1    0.001    0.000    0.148    0.148 <frozen importlib._bootstrap>:1002(_find_and_load)
      664    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0xaee2c0}
    425/1    0.001    0.000    6.719    6.719 {built-in method builtins.exec}
        1    0.001    0.001    0.002    0.002 _methods.py:1(<module>)
      133    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
      138    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
    138/1    0.001    0.000    0.147    0.147 <frozen importlib._bootstrap>:659(_load_unlocked)
        8    0.001    0.000    0.001    0.000 linalg.py:476(inv)
       69    0.001    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
        7    0.001    0.000    0.002    0.000 __init__.py:345(namedtuple)
      284    0.001    0.000    0.003    0.000 function_base.py:475(add_newdoc)
    149/1    0.001    0.000    0.148    0.148 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
       35    0.001    0.000    0.001    0.000 sol4.py:38(<listcomp>)
     1814    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
    334/9    0.001    0.000    0.143    0.016 {built-in method builtins.__import__}
     1628    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
   182/17    0.001    0.000    0.143    0.008 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        7    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     1520    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
4496/4330    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     3025    0.001    0.000    0.001    0.000 __init__.py:649(update)
       13    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
     1094    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
     3044    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     1776    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
   193/65    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
      778    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
     3855    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      306    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
       28    0.000    0.000    0.001    0.000 inspect.py:626(cleandoc)
      216    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      108    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
        1    0.000    0.000    0.000    0.000 core.py:6429(MaskedConstant)
      108    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       13    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       34    0.000    0.000    0.045    0.001 sol4.py:76(get_rotated_vectors)
      125    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
        3    0.000    0.000    0.001    0.000 enum.py:179(__new__)
    108/1    0.000    0.000    0.147    0.147 <frozen importlib._bootstrap_external>:844(exec_module)
      962    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      184    0.000    0.000    0.010    0.000 re.py:289(_compile)
  138/135    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      570    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      330    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      108    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      616    0.000    0.000    0.001    0.000 _inspect.py:13(ismethod)
      324    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      572    0.000    0.000    0.001    0.000 <string>:1(<lambda>)
      108    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
        1    0.000    0.000    0.016    0.016 numeric.py:1(<module>)
      614    0.000    0.000    0.001    0.000 sre_parse.py:254(get)
      337    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
      148    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1527(_guarded_repr_or_str)
      616    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      225    0.000    0.000    0.001    0.000 {built-in method builtins.max}
      284    0.000    0.000    0.000    0.000 function_base.py:443(_needs_add_docstring)
    73/28    0.000    0.000    0.005    0.000 sre_parse.py:435(_parse_sub)
      306    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
      612    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      912    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      125    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      125    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
      148    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      233    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:385(cached)
     1015    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      338    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
     1028    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       61    0.000    0.000    0.000    0.000 enum.py:462(__setattr__)
     1015    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      926    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      284    0.000    0.000    0.001    0.000 function_base.py:461(_add_docstring)
      412    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
      945    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
      149    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:156(__enter__)
       23    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       48    0.000    0.000    0.000    0.000 linalg.py:2104(det)
      432    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      177    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
    218/1    0.000    0.000    0.147    0.147 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
       46    0.000    0.000    0.000    0.000 enum.py:88(__setitem__)
      412    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7ff23e4e84c0}
      133    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
        2    0.000    0.000    0.006    0.003 function_base.py:1(<module>)
        1    0.000    0.000    0.007    0.007 defchararray.py:1(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2514(extend_all)
       28    0.000    0.000    0.010    0.000 sre_compile.py:759(compile)
      114    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1324(_path_hooks)
      309    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      316    0.000    0.000    0.000    0.000 overrides.py:141(array_function_dispatch)
       12    0.000    0.000    0.000    0.000 datetime.py:492(__new__)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
      146    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
      164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        1    0.000    0.000    0.008    0.008 fromnumeric.py:1(<module>)
       28    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.003    0.003 numerictypes.py:1(<module>)
      413    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
      309    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      361    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 core.py:1(<module>)
      345    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
        1    0.000    0.000    0.022    0.022 multiarray.py:1(<module>)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.000    0.000    0.000    0.000 pathlib.py:653(PurePath)
       69    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
      149    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:160(__exit__)
      250    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       40    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
      108    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
      217    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
